title,ad_url,address,unit_type,Price,Bedrooms,Bathrooms,Lat,Lon,Hydro Inc.,Heat Inc.,Water Inc.,Laundry Inc.,Yard Inc.,Parking Inc.,Gym Inc.,SQFT,Furnished,Air Conditioning,Walk Score,Transit Score,Bike Score,img_1,"img_2""",img_3
"
                            153 St George - Studio Apartment for Rent
                        ",#N/A,"153 St. George Street, Toronto, ON, M5R 2L9",Apartment,1650,1,1,43.6695853,-79.4002032,0,1,1,1,0,0,0,500,0,0,90,99,10,https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/YfEAAOSwxOJfChjh/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTU=/z/7l0AAOSwKtdfChjh/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTU=/z/HT0AAOSwJBFfChjh/$_2.JPG
"
                            Renovated bachelor suite, Kingston and Warden, Birch Cliff
                        ",#N/A,"1420 Kingston Road, Scarborough, ON, M1N 1R3",Apartment,1375,1,1,43.6874687,-79.2720347,0,1,1,1,0,0,0,350,0,0,43,67,71,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/ZfsAAOSweLZe4XPK/$_27.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/tggAAOSwUIhe4XPR/$_2.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/ds4AAOSwc59e4XPJ/$_2.JPG
"
                            Renovated bachelor suite, Kingston and Warden, Birch Cliff
                        ",#N/A,"1420 Kingston Road, Scarborough, ON, M1N 1R3",Apartment,1375,1,1,43.6874687,-79.2720347,0,1,1,1,0,0,0,273,0,0,43,67,71,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/zNUAAOSwH9he4XPP/$_27.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/4uwAAOSwoeVe4XPJ/$_2.JPG,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/JggAAOSwPq1e4XPJ/$_2.JPG
"
                            Fashion District -1 bedroom + den
                        ",#N/A,"50 Portland St, Toronto, ON, M5V 2M7",Apartment,2375,1,1,43.6432618,-79.3998572,0,1,1,1,0,0,1,625,0,1,97,10,66,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/KrsAAOSwG7FfCMkh/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjgw/z/pZMAAOSwSmxfCMkn/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/PUMAAOSwogVfCMkh/$_2.JPG
"
                            King West-1 bedroom, brand new!!
                        ",#N/A,"50 Portland St, Toronto, ON, M5V 2M7",Apartment,1995,1,1,43.6432618,-79.3998572,0,1,1,1,0,0,1,487,0,1,97,10,66,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/FukAAOSwxahe4-Ag/$_27.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/gVoAAOSwJp5e4-Ag/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/EcUAAOSwvhte4-Ag/$_2.JPG
"
                            Bretton Place - Studio Apartment for Rent
                        ",#N/A,"44 Jackes Avenue, Toronto, ON, M4T 1G4",Apartment,1400,1,1,43.685763,-79.391121,0,1,1,1,0,0,1,402,0,0,83,84,49,https://i.ebayimg.com/00/s/NTM4WDEwMjQ=/z/PlMAAOSwQhNfChPu/$_27.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/T6AAAOSw-dhfChPu/$_2.JPG,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/gicAAOSwI1xfChPu/$_2.JPG
"
                            1BR Apartment Bright Lower Unit in Townhouse Condo near Junction
                        ",#N/A,", Toronto M6N5G3 ON, Canada",Apartment,1800,1,1,43.6721266,-79.4550943,0,0,1,1,1,1,0,550,0,1,79,77,80,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/t6YAAOSwD2tfChVg/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/SLEAAOSwLClfChVi/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/VAAAAOSw1ixfChVt/$_2.JPG
"
                            1 bedroom apt for rent
                        ",#N/A,"460 Adelaide St E, Toronto, ON M5A 1N4, Canada",Apartment,1900,1,1,43.6527699,-79.3664874,1,1,1,1,1,0,1,570,1,1,94,98,99,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/lnoAAOSwUkFfCiVr/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/t9QAAOSwDTJfCiVu/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/MeoAAOSw9tVfCiVx/$_2.JPG
"
                            1Br downtown TO available immediately
                        ",#N/A,"2 Elm Grove Ave, Toronto, ON M6K 2J1, Canada",Apartment,1500,1,1,43.6387044,-79.4307301,1,1,1,0,0,0,0,500,0,1,80,88,54,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/YUIAAOSw3u9fCiOV/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Y3AAAOSws8BfCiOY/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/CrEAAOSw9eVfCiOa/$_2.JPG
"
                            Bachelor Studio Apartment for Rent - Eglinton & Caledonia
                        ",#N/A,"2343 Eglinton Ave W, York, ON M6E 2L6, Canada",Apartment,899,1,1,43.6927221,-79.4625286,0,0,0,1,1,0,0,400,0,1,66,68,69,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/jHEAAOSwk6RfCiKC/$_27.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/vq8AAOSwxH1fCiKR/$_2.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/SXAAAOSw7jtfCiKW/$_2.JPG
