,title,ad_url,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
6,"
                            4 BDRMS, LIVING, KITCHEN with D/W, HUGE CLOSETS, DECK
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/4-bdrms-living-kitchen-with-d-w-huge-closets-deck/1512986055?null&siteLocale=en_CA,"410 Crawford St, Toronto, ON M6G 3J6, Canada",Apartment,2800.0,4,1,43.6555678,-79.4195707,1.0,1.0,1.0,1.0,1.0,0,0.0,1200,0.0,0.0,89,83,10,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/6gYAAOSwV7tfE5SD/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/1k0AAOSw6AxfE5SF/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/mBEAAOSw94JfE5SI/$_2.JPG
7,"
                            $1650 One bd room toronto
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1650-one-bd-room-toronto/1512985252?null&siteLocale=en_CA,"Newton Dr, North York, ON M2M 2N9, Canada",Apartment,1650.0,1,1,43.7946247,-79.403049,0.0,0.0,0.0,1.0,1.0,1,0.0,600,0.0,1.0,30,65,44,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/UJ4AAOSw4PJfE60h/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Ah4AAOSwaHhfE60d/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/frgAAOSwVoFfE60k/$_2.JPG
8,"
                            GOOD TENANT BUT HAVE LOW CREDIT
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/good-tenant-but-have-low-credit/1512982147?null&siteLocale=en_CA,", scarborough M1E 2R3 ON, Canada",Apartment,2099.0,1,1,43.7659962,-79.20017120000001,0.0,1.0,1.0,1.0,1.0,1,1.0,700,0.0,1.0,51,64,69,,,
9,"
                            SECURE AN APARTMENT WITH LOW CREDIT AND REMAIN STRESS-FREE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/secure-an-apartment-with-low-credit-and-remain-stress-free/1512981884?null&siteLocale=en_CA,", scarborough M1G 1H5 ON, Canada",Apartment,2041.0,1,1,43.7614901,-79.2149786,0.0,1.0,1.0,1.0,1.0,1,1.0,700,0.0,1.0,47,59,45,,,
10,"
                            Well Maintained 2 Bed in Prime Leslieville
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/well-maintained-2-bed-in-prime-leslieville/1512980742?null&siteLocale=en_CA,"Winnifred Ave, Toronto, ON M4M 1K3, Canada",Apartment,2499.0,2,1,43.6613666,-79.3359208,1.0,1.0,1.0,1.0,1.0,1,0.0,800,0.0,1.0,84,80,99,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/sTMAAOSwdytfE4vI/$_27.JPG,https://i.ebayimg.com/00/s/Mjc1WDQxMw==/z/diMAAOSw0kVfE4ux/$_2.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/ehMAAOSwowZfE4u3/$_2.JPG
11,"
                            1 BEDROOM APT IN 6 PLEX BLDG AT BROWNSLINE/LAKESHORE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apt-in-6-plex-bldg-at-brownsline-lakeshore/1512980128?null&siteLocale=en_CA,"Woodbury Rd, Etobicoke, ON M8W 1X8, Canada",Apartment,1490.0,1,1,43.5985101,-79.547258,0.0,1.0,1.0,1.0,1.0,1,0.0,350,1.0,0.0,62,65,58,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/1LIAAOSwjTVfE4p7/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/PQUAAOSwVnBfE4qD/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/PZQAAOSwmkBfE4qd/$_2.JPG
12,"
                            Quad at York shared suite for rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/quad-at-york-shared-suite-for-rent/1512979990?null&siteLocale=en_CA,"95 The Pond Rd, North York, ON M3J 0L1, Canada",Apartment,895.0,1,1,43.77020419999999,-79.500486,1.0,1.0,1.0,1.0,0.0,0,1.0,750,1.0,1.0,55,85,80,https://i.ebayimg.com/00/s/NDM4WDc1Mg==/z/PhwAAOSwVe5fE4ka/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFg3NDA=/z/c8sAAOSw3yJfE4lc/$_2.JPG,https://i.ebayimg.com/00/s/MTYwMFg3NDA=/z/cVsAAOSw1ctfE4ld/$_2.JPG
13,"
                            2 Bedroom Apartment for Rent
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent/1512978807?null&siteLocale=en_CA,"31 Four Winds Drive, M3J1K9, North York, ON",Apartment,2400.0,2,1,43.7638244,-79.49759999999999,0.0,1.0,1.0,1.0,1.0,1,1.0,1000,0.0,0.0,82,79,99,https://i.ebayimg.com/00/s/NTM3WDgwMA==/z/d2kAAOSwUAVfE4Yq/$_27.JPG,https://i.ebayimg.com/00/s/Mzg5WDgwMA==/z/ATUAAOSwzvJfE4Yt/$_2.JPG,https://i.ebayimg.com/00/s/Mzg5WDgwMA==/z/gPcAAOSwagxfE4Yv/$_2.JPG
14,"
                            Apply and Get Approved with a LOW CREDIT SCORE
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apply-and-get-approved-with-a-low-credit-score/1512979242?null&siteLocale=en_CA,", east york M1L 1P4 ON, Canada",Apartment,2055.0,1,1,43.7004892,-79.2920626,0.0,1.0,1.0,1.0,1.0,1,1.0,700,0.0,1.0,47,81,60,,,
15,"
                            Applications Approved for Honest Tenants
                        ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/applications-approved-for-honest-tenants/1512978847?null&siteLocale=en_CA,", east york M4B 1C9 ON, Canada",Apartment,2045.0,1,1,43.7021866,-79.2943521,0.0,1.0,1.0,1.0,1.0,1,1.0,700,0.0,1.0,55,77,68,,,
